+----------------+-----------+
|      Word      | Frequency |
+----------------+-----------+
|      bbc       |     18    |
|       us       |     14    |
|    business    |     12    |
|    pictures    |     12    |
|      news      |     10    |
|     world      |     10    |
|      year      |     10    |
|       uk       |     10    |
|     sport      |     8     |
|    weather     |     7     |
|     future     |     7     |
|      home      |     6     |
|     sounds     |     6     |
|      food      |     6     |
|     covid      |     6     |
|     china      |     6     |
|     storm      |     6     |
|      cup       |     6     |
|     office     |     6     |
|    worklife    |     5     |
|     travel     |     5     |
|    culture     |     5     |
|     europe     |     5     |
|     canada     |     5     |
|   christmas    |     5     |
|     casino     |     5     |
|     south      |     5     |
|     fight      |     5     |
|      word      |     5     |
|      reel      |     4     |
|     russia     |     4     |
|   ukrainian    |     4     |
|    football    |     4     |
|    america     |     4     |
|     least      |     4     |
|    cambodia    |     4     |
|      fire      |     4     |
|     africa     |     4     |
|      city      |     4     |
|      way       |     4     |
|      ever      |     4     |
|    chinese     |     4     |
| entertainment  |     4     |
|      arts      |     4     |
|    russian     |     4     |
|     india      |     4     |
|    nazanin     |     4     |
|     winter     |     4     |
|   argentina    |     4     |
|    homepage    |     3     |
| accessibility  |     3     |
|     links      |     3     |
|    iplayer     |     3     |
|    bitesize    |     3     |
|    cbeebies    |     3     |
|      cbbc      |     3     |
|       tv       |     3     |
|     dozens     |     3     |
|     cities     |     3     |
|     school     |     3     |
|     shows      |     3     |
|    powerful    |     3     |
|      hit       |     3     |
|      asia      |     3     |
|   australia    |     3     |
|     series     |     3     |
|      win       |     3     |
|     gakpo      |     3     |
|      one       |     3     |
|    haaland     |     3     |
|     using      |     3     |
|    bullying    |     3     |
|     avatar     |     3     |
| photographers  |     3     |
|     rules      |     3     |
|    esports     |     3     |
|      keep      |     3     |
|    growing     |     3     |
|  sustainable   |     3     |
|     small      |     3     |
|   technology   |     3     |
|      joy       |     3     |
|      oil       |     3     |
|   countries    |     3     |
|     price      |     3     |
|      cap       |     3     |
|     water      |     3     |
|       de       |     3     |
|    content     |     2     |
|      help      |     2     |
|      menu      |     2     |
|     search     |     2     |
|     fires      |     2     |
|    missiles    |     2     |
|      say       |     2     |
|  battlefield   |     2     |
|   deadlocked   |     2     |
|    ukraine     |     2     |
|      spy       |     2     |
|     chief      |     2     |
|     tells      |     2     |
|    demands     |     2     |
|     tests      |     2     |
|    visitors    |     2     |
|     mbappe     |     2     |
|     shrugs     |     2     |
|    martinez    |     2     |
|     futile     |     2     |
|     taunts     |     2     |
|     energy     |     2     |
|     giant      |     2     |
|   exxonmobil   |     2     |
|      sues      |     2     |
|       eu       |     2     |
|    windfall    |     2     |
|      tax       |     2     |
|     texas      |     2     |
|     every      |     2     |
|    student     |     2     |
|      teen      |     2     |
|     mother     |     2     |
|    striking    |     2     |
|    footage     |     2     |
|     scale      |     2     |
|      snow      |     2     |
|     north      |     2     |
|      dead      |     2     |
|      town      |     2     |
|     crush      |     2     |
|      seal      |     2     |
|     earned     |     2     |
|      move      |     2     |
|     elite      |     2     |
|     hungry     |     2     |
|     driven     |     2     |
|    absence     |     2     |
|     nordic     |     2     |
|      ways      |     2     |
|    romance     |     2     |
|   inevitable   |     2     |
|    bizarre     |     2     |
|      plot      |     2     |
|    tricked     |     2     |
|     hitler     |     2     |
|    greatest    |     2     |
|     visual     |     2     |
|    effects     |     2     |
|      seen      |     2     |
|    happens     |     2     |
|     babies     |     2     |
|      cry       |     2     |
|     vegan      |     2     |
|     loving     |     2     |
|      sued      |     2     |
|    mcdonald    |     2     |
|     single     |     2     |
|    shaming     |     2     |
|    problem     |     2     |
|     around     |     2     |
|      hong      |     2     |
|      kong      |     2     |
|     scrap      |     2     |
|     almost     |     2     |
|    explore     |     2     |
|     latest     |     2     |
|     surge      |     2     |
|      tech      |     2     |
|     trends     |     2     |
|     flying     |     2     |
|     taxis      |     2     |
|   satellite    |     2     |
|     phones     |     2     |
|     people     |     2     |
|      make      |     2     |
|      cars      |     2     |
|    involved    |     2     |
|     fatal      |     2     |
|     crash      |     2     |
|     kills      |     2     |
|      ten       |     2     |
|   peruvians    |     2     |
|     settle     |     2     |
|     scores     |     2     |
|     annual     |     2     |
|     latin      |     2     |
|   caribbean    |     2     |
|      iran      |     2     |
|    turmoil     |     2     |
|      set       |     2     |
|      back      |     2     |
|    recovery    |     2     |
|     watch      |     2     |
|      dog       |     2     |
|    rescued     |     2     |
|     snowy      |     2     |
|      utah      |     2     |
|   mountains    |     2     |
|     listen     |     2     |
|      andy      |     2     |
|     murray     |     2     |
|     moved      |     2     |
|     tennis     |     2     |
|     loyle      |     2     |
|     carner     |     2     |
|     jamie      |     2     |
|     oliver     |     2     |
|      talk      |     2     |
|   continues    |     2     |
|    disrupt     |     2     |
|      bans      |     2     |
|     sales      |     2     |
|     passes     |     2     |
|      box       |     2     |
|    warmest     |     2     |
|      met       |     2     |
|   uzbekistan   |     2     |
|     child      |     2     |
|     deaths     |     2     |
|     cough      |     2     |
|     syrup      |     2     |
|     royal      |     2     |
|      mail      |     2     |
|      post      |     2     |
|     online     |     2     |
|     outage     |     2     |
|       ‘i       |     2     |
|      went      |     2     |
|   menopause    |     2     |
|      mum       |     2     |
|     comic      |     2     |
|     actor      |     2     |
|      john      |     2     |
|      bird      |     2     |
|      dies      |     2     |
|      aged      |     2     |
|       ko       |     2     |
|    reindeer    |     2     |
|    herders     |     2     |
|      fear      |     2     |
|    lapland     |     2     |
|      wind      |     2     |
|      farm      |     2     |
|      boom      |     2     |
|     cargo      |     2     |
|    hauling     |     2     |
|    aircraft    |     2     |
|     pilots     |     2     |
|     board      |     2     |
|    escaping    |     2     |
|      nile      |     2     |
|     floods     |     2     |
|   minefield    |     2     |
|     young      |     2     |
|     scoop      |     2     |
|    national    |     2     |
|     awards     |     2     |
|   explosion    |     2     |
|      wins      |     2     |
|     final      |     2     |
|   languages    |     2     |
|    spanish     |     2     |
|    persian     |     2     |
|     ایران      |     2     |
|   portuguese   |     2     |
|     hausa      |     2     |
|    kirundi     |     2     |
|     somali     |     2     |
|    swahili     |     2     |
|    external    |     2     |
|      skip      |     1     |
|    account     |     1     |
| notifications  |     1     |
|     close      |     1     |
|   officials    |     1     |
|     across     |     1     |
|    country     |     1     |
|    targeted    |     1     |
|    several     |     1     |
|     waves      |     1     |
|    strikes     |     1     |
|    european    |     1     |
|   motherhood   |     1     |
|     centre     |     1     |
|     heated     |     1     |
|     debate     |     1     |
|   reshaping    |     1     |
|     lives      |     1     |
|    blizzard    |     1     |
|    weekend     |     1     |
|    injured     |     1     |
|     hotel      |     1     |
|     poipet     |     1     |
|      near      |     1     |
|     border     |     1     |
